FID,Handle,Layer,age,Lattitude,Longitude,TagInfo,TaxonName,AgeGroup,Height,Spread,DBH,AddInfo,globalid,TreeHandle,parentglob,CreationDa,Creator,EditDate,Editor,x,y
1,4BBE7,0_JLG_EX_trees,0,51.49652658,-0.17849612,0117,Betula pendula,Mature,0,0,15.4, , , , ,, ,, ,-0.178496118320367,51.4965265789866
2,4BBEA,0_JLG_EX_trees,0,51.49652319,-0.17857913,0111,Betula pendula,Mature,0,0,18.2, , , , ,, ,, ,-0.178579125347563,51.4965231882111
3,4CF4E,0_JLG_EX_trees,0,51.49643294,-0.178696,TBC,Lythraceae,Semi-mature,0,0,0, , , , ,, ,, ,-0.178695997962669,51.496432943045
4,4D22C,0_JLG_EX_trees,0,51.49562249,-0.17880732,0374,Betula alba,Mature,0,0,13.9,Ivy, , , ,, ,, ,-0.178807317192685,51.4956224868484
5,4EC83,0_JLG_EX_trees,0,51.49590341,-0.17875477,0385,Corylus avellana,Semi-mature,0,0,4.6, , , , ,, ,, ,-0.178754767545178,51.4959034063614
6,20800,2_JLG_PROP_trees,0,51.49656798,-0.17811569,0194,Quercus ilex,Semi-mature,0,0,6.6, , , , ,, ,, ,-0.178115694373955,51.4965679818843
7,20804,2_JLG_PROP_trees,0,51.49648574,-0.17804429,0199,Morus alba,Mature,0,0,9.7, , , , ,, ,, ,-0.178044292681928,51.4964857353088
8,20808,2_JLG_PROP_trees,0,51.49635714,-0.17805973,0164,Pinus pinea, ,0,0,6.9,Measured below tag, , , ,, ,, ,-0.17805972933175,51.4963571366542
9,2083C,2_JLG_PROP_trees,0,51.49651232,-0.1781677,0127,Quercus suber,Young,0,0,12.1, , , , ,, ,, ,-0.17816769784576,51.4965123207264
10,20848,2_JLG_PROP_trees,0,51.49638803,-0.17845496,0123,Pinus nigra nigra, ,0,0,11.5, , , , ,, ,, ,-0.178454959310689,51.4963880256429
11,2084C,2_JLG_PROP_trees,0,51.49638482,-0.17838426,0191,Pinus nigra nigra, ,0,0,9.7,ID?, , , ,, ,, ,-0.178384261897819,51.4963848233273
12,20857,2_JLG_PROP_trees,0,51.49592037,-0.17854423,0321,Quercus robur,Mature,0,0,19.2, , , , ,, ,, ,-0.178544232985303,51.4959203705336
13,57063,2_JLG_PROP_trees,0,51.49609103,-0.17819397,0153,Pinus nigra nigra, ,0,0,11.1, , , , ,, ,, ,-0.178193967279614,51.496091034241
14,8F9A9,2_JLG_PROP_trees,0,51.49643637,-0.17865636,0154,Cydonia oblonga,Mature,0,0,7.5, , , , ,, ,, ,-0.178656356207489,51.4964363657049
15,8F9AD,2_JLG_PROP_trees,0,51.4964574,-0.17870096,0155,Juglans regia,Mature,0,0,7.3, , , , ,, ,, ,-0.178700956663047,51.4964573999579
16,8F9B1,2_JLG_PROP_trees,0,51.49646048,-0.17866133,0158,Pyrus communis,Mature,0,0,7.2, , , , ,, ,, ,-0.178661330179217,51.4964604831465
17,9222D,2_JLG_PROP_trees,0,51.49602202,-0.17797259,0163,Pinus nigra nigra, ,0,0,13.1, , , , ,, ,, ,-0.177972585562687,51.4960220206524
18,99E6B,2_JLG_PROP_trees,0,51.49655491,-0.17845769,0109,Betula pendula,Mature,0,0,18.3, , , , ,, ,, ,-0.17845768569758,51.4965549126168
19,99E9F,2_JLG_PROP_trees,0,51.49654307,-0.17823649,0125,Olea europaea,Semi-mature,0,0,9.2,Measured below tag, , , ,, ,, ,-0.178236492626844,51.4965430692365
20,99EA3,2_JLG_PROP_trees,0,51.49652366,-0.17823132,0121,Olea europaea,Semi-mature,0,0,8.8,Measured below tag, , , ,, ,, ,-0.178231321924084,51.4965236607834
21,99EB3,2_JLG_PROP_trees,0,51.49652018,-0.17804405,0120,Olea europaea,Semi-mature,0,0,8.6,Measured below tag, , , ,, ,, ,-0.178044051035108,51.4965201805265
22,99ECF,2_JLG_PROP_trees,0,51.49638644,-0.17799463,0128,Prunus dulcis, ,0,0,12,Recorded below tag, , , ,, ,, ,-0.177994632016386,51.4963864423814
23,54F8D,0_JLG_EX_trees,0,51.49558146,-0.17836116,0361,Carpinus betulus,Mature,0,0,13.8, , , , ,, ,, ,-0.178361162618622,51.4955814583611
24,54FB1,0_JLG_EX_trees,0,51.49586019,-0.1788414,0340,Quercus robur,Mature,0,0,11.4, , , , ,, ,, ,-0.178841399274563,51.4958601886037
25,54FB7,0_JLG_EX_trees,0,51.4958327,-0.1788053,0388,Prunus,Mature,0,0,12.9, , , , ,, ,, ,-0.178805301373165,51.4958326962363
26,54FBD,0_JLG_EX_trees,0,51.49593921,-0.17873571,0336,Betula pendula,Mature,0,0,13.1, , , , ,, ,, ,-0.178735705294871,51.4959392054385
27,55017,0_JLG_EX_trees,0,51.49578192,-0.1786733,0323,Quercus robur,Mature,0,0,23.5, , , , ,, ,, ,-0.178673299332077,51.4957819249634
28,5501D,0_JLG_EX_trees,0,51.49585572,-0.17869338,0319,Quercus robur, ,0,0,12.5, , , , ,, ,, ,-0.178693378475299,51.4958557161596
29,55023,0_JLG_EX_trees,0,51.49582837,-0.17859587,0396,Quercus robur,Mature,0,0,7.5, , , , ,, ,, ,-0.178595865452907,51.4958283691986
30,55029,0_JLG_EX_trees,0,51.4958823,-0.17855811,0383,Sambucus nigra, ,0,0,7.9, , , , ,, ,, ,-0.178558113753087,51.4958823041817
31,55041,0_JLG_EX_trees,0,51.49604361,-0.17828306,0141,Carpinus betulus,Mature,0,0,14.2, , , , ,, ,, ,-0.178283063986133,51.4960436082077
32,55047,0_JLG_EX_trees,0,51.49610734,-0.17833752,0095,Quercus ilex,Mature,0,0,23.8, , , , ,, ,, ,-0.178337524350233,51.4961073367363
33,5504D,0_JLG_EX_trees,0,51.49615158,-0.17832083,0063,Fraxinus excelsior,Semi-mature,0,0,22.2, , , , ,, ,, ,-0.178320826465719,51.4961515827418
34,55059,0_JLG_EX_trees,0,51.49613849,-0.17837975,0061,Carpinus betulus,Mature,0,0,15.1, , , , ,, ,, ,-0.178379748761835,51.4961384943399
35,5507D,0_JLG_EX_trees,0,51.4961338,-0.17850755,0059,Carpinus betulus,Mature,0,0,14.7, , , , ,, ,, ,-0.178507550280696,51.496133799337
36,550EF,0_JLG_EX_trees,0,51.49634147,-0.17874276,0185,Ilex,Mature,0,0,21.8, , , , ,, ,, ,-0.178742757968149,51.496341467889
37,550FB,0_JLG_EX_trees,0,51.49638331,-0.17895135,0167,Syringa vulgaris,Mature,0,0,10,Multi-stemed, , , ,, ,, ,-0.178951354861952,51.4963833094138
38,55113,0_JLG_EX_trees,0,51.49555473,-0.1784074,0177,Acer campestre, ,0,0,16.5, , , , ,, ,, ,-0.178407398906295,51.4955547314648
